scenario,frame,time_h,max_depth_m,active_power,flooded_power,repairing_power,restored_power,failed_comm
fleets_1,5,1.6666666666666667,5.704722957448062,15,0,0,0,0
fleets_1,6,2.0,6.809066560593192,14,0,1,0,0
fleets_1,7,2.3333333333333335,7.983973577931119,12,2,1,0,0
fleets_1,8,2.6666666666666665,9.53023349066226,12,2,1,0,0
fleets_1,9,3.0,10.710692792491676,12,1,1,1,0
fleets_1,10,3.3333333333333335,11.724966053628586,12,1,1,1,0
fleets_1,11,3.6666666666666665,12.636565722045923,12,1,1,1,0
fleets_1,12,4.0,13.600657541572652,12,1,0,2,0
fleets_1,13,4.333333333333333,14.367053125428473,12,1,0,2,0
fleets_1,14,4.666666666666667,14.725925148895985,12,1,0,2,0
fleets_1,15,5.0,15.187384909291842,12,1,0,2,0
fleets_1,16,5.333333333333333,15.633975105421476,12,1,0,2,0
fleets_1,17,5.666666666666667,16.09980188677001,12,1,0,2,0
fleets_1,18,6.0,16.397703126944876,12,1,0,2,0
fleets_1,19,6.333333333333333,16.539397469294453,12,1,0,2,0
fleets_1,20,6.666666666666667,16.59354653617889,12,1,0,2,1
fleets_1,21,7.0,16.584251591303744,12,1,0,2,1
fleets_1,22,7.333333333333333,16.530942447679656,12,1,0,2,1
fleets_1,23,7.666666666666667,16.39419439337888,12,1,0,2,1
fleets_2,0,0.0,0.0,15,0,0,0,0
fleets_2,1,0.3333333333333333,0.4080600914719211,15,0,0,0,0
fleets_2,2,0.6666666666666666,1.4666019376138164,15,0,0,0,0
fleets_2,3,1.0,2.8393704908961883,15,0,0,0,0
fleets_2,4,1.3333333333333333,4.166413239796009,15,0,0,0,0
fleets_2,5,1.6666666666666667,5.704722957448062,15,0,0,0,0
fleets_2,6,2.0,6.809066560593192,14,0,1,0,0
fleets_2,7,2.3333333333333335,7.983973577931119,12,1,2,0,0
fleets_2,8,2.6666666666666665,9.53023349066226,12,1,2,0,0
fleets_2,9,3.0,10.710692792491676,12,1,1,1,0
fleets_2,10,3.3333333333333335,11.724966053628586,12,1,0,2,0
fleets_2,11,3.6666666666666665,12.636565722045923,12,1,0,2,0
fleets_2,12,4.0,13.600657541572652,12,1,0,2,0
fleets_2,13,4.333333333333333,14.367053125428473,12,1,0,2,0
fleets_2,14,4.666666666666667,14.725925148895985,12,1,0,2,0
fleets_2,15,5.0,15.187384909291842,12,1,0,2,0
fleets_2,16,5.333333333333333,15.633975105421476,12,1,0,2,0
fleets_2,17,5.666666666666667,16.09980188677001,12,1,0,2,0
fleets_2,18,6.0,16.397703126944876,12,1,0,2,0
fleets_2,19,6.333333333333333,16.539397469294453,12,1,0,2,0
fleets_2,20,6.666666666666667,16.59354653617889,12,1,0,2,1
fleets_2,21,7.0,16.584251591303744,12,1,0,2,1
fleets_2,22,7.333333333333333,16.530942447679656,12,1,0,2,1
fleets_2,23,7.666666666666667,16.39419439337888,12,1,0,2,1
fleets_4,0,0.0,0.0,15,0,0,0,0
fleets_4,1,0.3333333333333333,0.4080600914719211,15,0,0,0,0
fleets_4,2,0.6666666666666666,1.4666019376138164,15,0,0,0,0
fleets_4,3,1.0,2.8393704908961883,15,0,0,0,0
fleets_4,4,1.3333333333333333,4.166413239796009,15,0,0,0,0
fleets_4,5,1.6666666666666667,5.704722957448062,15,0,0,0,0
fleets_4,6,2.0,6.809066560593192,14,0,1,0,0
fleets_4,7,2.3333333333333335,7.983973577931119,12,1,2,0,0
fleets_4,8,2.6666666666666665,9.53023349066226,12,1,2,0,0
fleets_4,9,3.0,10.710692792491676,12,1,1,1,0
fleets_4,10,3.3333333333333335,11.724966053628586,12,1,0,2,0
fleets_4,11,3.6666666666666665,12.636565722045923,12,1,0,2,0
fleets_4,12,4.0,13.600657541572652,12,1,0,2,0
fleets_4,13,4.333333333333333,14.367053125428473,12,1,0,2,0
fleets_4,14,4.666666666666667,14.725925148895985,12,1,0,2,0
fleets_4,15,5.0,15.187384909291842,12,1,0,2,0
fleets_4,16,5.333333333333333,15.633975105421476,12,1,0,2,0
fleets_4,17,5.666666666666667,16.09980188677001,12,1,0,2,0
fleets_4,18,6.0,16.397703126944876,12,1,0,2,0
fleets_4,19,6.333333333333333,16.539397469294453,12,1,0,2,0
fleets_4,20,6.666666666666667,16.59354653617889,12,1,0,2,1
fleets_4,21,7.0,16.584251591303744,12,1,0,2,1
fleets_4,22,7.333333333333333,16.530942447679656,12,1,0,2,1
fleets_4,23,7.666666666666667,16.39419439337888,12,1,0,2,1
